,citing,cited_id
1406,11,2186
1407,11,1753
1408,11,2222
1412,11,2361
1413,11,1801
1415,11,2484
1416,11,2480
1418,11,2565
1419,11,2562
1420,11,2563
1421,11,2564
1422,11,2741
1423,11,11573
1424,11,2893
1425,11,2607
1426,11,3162
1427,11,3142
1428,11,3339
1429,11,3345
1431,11,3492
1433,11,3514
1434,11,3520
1435,11,3376
1439,11,3810
1442,11,3948
1445,11,4202
1446,11,4303
1447,11,4478
1448,11,4515
1449,11,4600
1450,11,4634
1451,11,4633
1454,11,4885
1455,11,4891
1456,11,4887
1457,11,4946
1458,11,5038
1459,11,5049
1460,11,5076
1461,11,5059
1464,11,5199
1465,11,5310
1466,11,5311
1467,11,5333
1468,11,5609
1469,11,5767
1470,11,5766
1471,11,5772
1472,11,5967
1473,11,6313
1474,11,6511
1477,11,6581
1478,11,6590
1479,11,6594
1480,11,6617
1482,11,6674
1484,11,7047
1485,11,7177
1487,11,7288
1489,11,7492
1492,11,7661
1494,11,7805
1495,11,7802
1496,11,7640
1500,11,8146
1506,11,8768
1511,11,9006
1512,11,8625
1513,11,9007
1514,11,9354
1516,11,9358
1523,11,9842
1524,11,10015
1525,11,10020
1526,11,10021
1527,11,10108
1528,11,10263
1529,11,10282
1530,11,10311
1531,11,10347
1532,11,10135
1533,11,10348
1534,11,10358
1536,11,10150
1538,11,10541
1539,11,11603
1541,11,10667
1542,11,10665
1543,11,10658
1544,11,10668
1545,11,10657
1546,11,10663
1547,11,10656
1548,11,10671
1549,11,10773
1550,11,10772
1553,11,10778
1554,11,10780
1557,11,11051
1559,11,11173
1560,11,11307
1563,11,11354
1564,11,11355
1565,11,11390
1566,11,11392
1569,11,11430
1570,11,11435
1572,11,11431
1573,12,268
1574,12,380
1575,12,1124
1576,12,1170
1577,12,1230
1580,12,1631
1581,12,1696
1585,12,2092
1587,12,2183
1588,12,2497
1589,12,1847
1590,12,2493
1591,12,2490
1592,12,2984
1593,12,2988
1596,12,3173
1597,12,3202
1600,12,3585
1601,12,3387
1603,12,4496
1604,12,4550
1606,12,4594
1608,12,4716
1609,12,5002
1610,12,5382
1611,12,5411
1615,12,6111
1616,12,6532
1617,12,6611
1618,12,6635
1619,12,7046
1620,12,7045
1621,12,7077
1623,12,6846
1625,12,7347
1626,12,6900
1627,12,7376
1629,12,7922
1630,12,8213
1632,12,8574
1633,12,8933
1637,12,9548
1638,12,9557
1640,12,9786
1642,12,9923
1643,12,10603
1644,12,10937
1645,12,11084
1649,13,26
1650,13,249
1651,13,873
1652,13,928
1655,13,693
1656,13,1309
1657,13,1461
1658,13,1670
1659,13,1924
1661,13,2363
1662,13,2372
1664,13,2850
1665,13,2895
1666,13,2990
1667,13,3054
1670,13,3520
1671,13,3616
1672,13,3404
1673,13,3406
1674,13,3824
1675,13,3869
1676,13,4019
1677,13,3723
1678,13,3738
1681,13,4554
1682,13,4668
1683,13,4806
1684,13,4841
1685,13,4840
1686,13,4434
1687,13,4851
1688,13,4885
1689,13,4453
1690,13,5265
1691,13,5595
1692,13,5609
1693,13,5622
1694,13,5682
1695,13,5707
1696,13,6001
1697,13,6106
1699,13,6469
1700,13,6508
1701,13,7047
1702,13,6888
1703,13,7302
1704,13,7320
1705,13,7600
1706,13,7726
1707,13,8063
1708,13,8504
1709,13,8566
1710,13,8805
1711,13,8918
1712,13,9041
1715,13,10108
1716,13,10135
1717,13,10627
1719,13,10665
1720,13,10659
1721,13,10661
1722,13,10660
1723,13,10867
1724,13,11002
1725,13,10791
1726,13,11072
1727,14,198
1729,14,372
1730,14,523
1731,14,1101
1732,14,1278
1734,14,1518
1735,14,1612
1736,14,795
1737,14,1915
1738,14,1932
1739,14,2033
1740,14,2248
1742,14,2908
1743,14,2914
1744,14,2922
1745,14,2963
1746,14,2951
1747,14,3234
1748,14,3466
1751,14,3533
1757,14,4080
1758,14,4101
1761,14,4257
1763,14,4326
1764,14,3785
1765,14,4538
1766,14,4537
1769,14,4805
1773,14,5202
1774,14,5203
1775,14,5204
1776,14,5393
1777,14,5714
1778,14,5857
1780,14,6196
1781,14,6203
1782,14,6204
1783,14,6087
1784,14,6375
1786,14,6472
1787,14,6474
1788,14,6477
1790,14,6670
1791,14,7063
1792,14,7062
1793,14,7190
1795,14,7418
1796,14,7429
1797,14,7427
1798,14,7424
1799,14,7421
1800,14,7428
1801,14,7425
1804,14,7941
1805,14,7890
1806,14,8678
1807,14,8896
1808,14,8975
1809,14,8982
1810,14,9265
1811,14,9716
1812,14,10046
1813,14,10178
1814,14,10191
1815,14,10208
1819,14,11098
1820,14,11138
1821,14,11195
1825,15,41
1826,15,307
1827,15,430
1830,15,651
1831,15,1240
1832,15,777
1833,15,1572
1835,15,1731
1837,15,2253
1838,15,2346
1839,15,2823
1840,15,2854
1841,15,2603
1843,15,3542
1844,15,3562
1846,15,3611
1847,15,3612
1851,15,4271
1853,15,4698
1856,15,4880
1859,15,5469
