source,target,weight,type
18,1714,0.54004,undirected
18,1724,0.501054,undirected
18,1741,0.794907,undirected
18,1774,0.700183,undirected
18,1786,0.596109,undirected
18,1815,0.535015,undirected
18,1834,0.649129,undirected
18,1890,0.616292,undirected
18,1917,0.541311,undirected
18,1941,0.744085,undirected
18,1957,0.511697,undirected
18,2029,0.536687,undirected
18,2056,0.616626,undirected
18,2064,0.528066,undirected
19,22,0.584303,undirected
19,94,0.541306,undirected
19,217,0.549138,undirected
19,309,0.565154,undirected
19,613,0.558742,undirected
19,731,0.614484,undirected
19,860,0.535583,undirected
19,1080,0.5787,undirected
19,1239,0.540464,undirected
19,1382,0.600557,undirected
19,1416,0.516811,undirected
19,1421,0.574333,undirected
19,1468,0.66459,undirected
19,1597,0.520206,undirected
19,1802,0.579663,undirected
19,1814,0.731143,undirected
19,1879,0.595401,undirected
19,1897,0.641241,undirected
19,1931,0.60836,undirected
19,1948,0.50229,undirected
19,1990,0.706148,undirected
19,2030,0.533341,undirected
19,2056,0.570087,undirected
19,2064,0.588192,undirected
19,2099,0.530928,undirected
20,22,0.642407,undirected
20,23,0.591859,undirected
20,132,0.644698,undirected
20,253,0.557918,undirected
20,613,0.585041,undirected
20,731,0.605641,undirected
20,860,0.590007,undirected
20,924,0.507827,undirected
20,1021,0.604405,undirected
20,1080,0.528528,undirected
20,1249,0.562403,undirected
20,1416,0.569915,undirected
20,1421,0.603665,undirected
20,1721,0.596674,undirected
20,1737,0.694439,undirected
20,1741,0.560389,undirected
20,1786,0.597687,undirected
20,1795,0.513028,undirected
20,1814,0.658661,undirected
20,1897,0.628388,undirected
20,1928,0.541382,undirected
20,1940,0.589455,undirected
20,1948,0.639184,undirected
20,1983,0.536623,undirected
20,1990,0.526856,undirected
20,2099,0.543219,undirected
21,23,0.550063,undirected
21,59,0.500037,undirected
21,167,0.66234,undirected
21,233,0.543148,undirected
21,261,0.573135,undirected
21,318,0.523014,undirected
21,538,0.672543,undirected
21,577,0.580726,undirected
21,591,0.552152,undirected
21,592,0.63088,undirected
21,595,0.506058,undirected
21,1210,0.644605,undirected
21,1257,0.543659,undirected
21,1322,0.638635,undirected
21,1736,0.607779,undirected
21,1741,0.617171,undirected
21,1774,0.59414,undirected
21,1828,0.530688,undirected
21,1845,0.607826,undirected
21,1905,0.590119,undirected
21,1941,0.539471,undirected
21,1948,0.556284,undirected
21,1957,0.620124,undirected
21,2005,0.677661,undirected
21,2029,0.695265,undirected
21,2056,0.508745,undirected
22,23,0.598205,undirected
22,65,0.59065,undirected
22,98,0.672863,undirected
22,367,0.533761,undirected
22,495,0.528597,undirected
22,613,0.695226,undirected
22,731,0.70754,undirected
22,860,0.690796,undirected
22,1080,0.542221,undirected
22,1358,0.576233,undirected
22,1416,0.640316,undirected
22,1421,0.714043,undirected
22,1721,0.822865,undirected
22,1737,0.781193,undirected
22,1741,0.590098,undirected
22,1757,0.54587,undirected
22,1786,0.69584,undirected
22,1814,0.828674,undirected
22,1886,0.586525,undirected
22,1890,0.53756,undirected
22,1897,0.705135,undirected
22,1940,0.768676,undirected
22,1948,0.776533,undirected
22,1983,0.689736,undirected
22,1990,0.60695,undirected
22,2030,0.65104,undirected
22,2099,0.60713,undirected
23,167,0.605322,undirected
23,261,0.537026,undirected
23,297,0.513677,undirected
23,322,0.525951,undirected
23,339,0.505356,undirected
23,538,0.571973,undirected
23,577,0.54982,undirected
23,591,0.559746,undirected
23,592,0.706155,undirected
23,595,0.539708,undirected
23,999,0.558386,undirected
23,1684,0.538794,undirected
23,1702,0.502663,undirected
23,1736,0.530811,undirected
23,1737,0.525565,undirected
23,1741,0.654811,undirected
23,1774,0.640679,undirected
23,1786,0.582528,undirected
23,1814,0.622414,undirected
23,1855,0.515895,undirected
23,1897,0.531792,undirected
23,1905,0.545326,undirected
23,1946,0.533168,undirected
23,1948,0.765842,undirected
23,1957,0.544437,undirected
23,2029,0.585084,undirected
23,2064,0.552051,undirected
23,2099,0.588238,undirected
24,1837,0.717122,undirected
24,1870,0.807763,undirected
24,1991,0.762113,undirected
25,117,0.798554,undirected
25,277,0.585394,undirected
25,375,0.69472,undirected
25,422,0.791109,undirected
25,461,0.759445,undirected
25,541,0.625246,undirected
25,550,0.618894,undirected
25,569,0.617358,undirected
25,594,0.784811,undirected
25,597,0.621773,undirected
25,688,0.632566,undirected
25,704,0.77323,undirected
25,706,0.719115,undirected
25,722,0.557884,undirected
25,772,0.6011,undirected
25,836,0.502029,undirected
25,918,0.531431,undirected
25,936,0.622221,undirected
25,966,0.525645,undirected
25,1045,0.589,undirected
25,1065,0.597011,undirected
25,1085,0.501162,undirected
25,1086,0.719438,undirected
25,1098,0.756435,undirected
25,1191,0.696538,undirected
25,1238,0.678768,undirected
25,1274,0.68944,undirected
25,1423,0.723427,undirected
25,1543,0.827173,undirected
25,1788,0.711682,undirected
25,1808,0.727039,undirected
25,1820,0.657941,undirected
25,1822,0.714397,undirected
25,1919,0.515756,undirected
25,1951,0.685337,undirected
26,160,0.612418,undirected
26,178,0.601034,undirected
26,231,0.50145,undirected
26,247,0.559751,undirected
26,372,0.587908,undirected
26,527,0.691621,undirected
26,745,0.768863,undirected
26,914,0.791428,undirected
26,1081,0.6218,undirected
26,1091,0.570682,undirected
