source,target,p
19,592,0.535407121614
19,613,0.81239450205
19,663,0.721163893578
19,682,0.975886182783
19,739,0.877501808536
19,758,0.917289606945
19,890,0.143557591833
19,892,0.0506390161563
19,939,0.143557591833
19,952,0.0506390161563
19,985,0.143557591833
19,989,0.322080218632
19,999,0.322080218632
19,1003,0.0506390161563
19,1082,0.322080218632
19,1109,0.231171127723
19,1160,0.231171127723
19,1162,0.322080218632
19,1181,0.231171127723
20,22,0.231171127723
20,131,0.143557591833
20,170,0.0506390161563
20,359,0.0506390161563
20,436,0.231171127723
20,442,0.27972027972
20,493,0.350293384776
20,567,0.27972027972
20,570,0.718993650028
20,593,0.787637649707
20,638,0.197492163009
20,841,0.00852021541677
20,971,0.0506390161563
20,1046,0.00852021541677
20,1101,0.0506390161563
20,1170,0.197492163009
21,248,0.0927578168957
21,277,0.0267663371112
21,321,0.0506390161563
21,538,0.345952897677
21,663,0.300136644964
21,858,0.00852021541677
21,1044,0.0927578168957
21,1186,0.0927578168957
22,23,0.431556948798
22,65,0.350293384776
22,94,0.231171127723
22,131,0.0927578168957
22,167,0.721163893578
22,174,0.431556948798
22,196,0.350293384776
22,217,0.79471103609
22,233,0.693191865606
22,240,0.693191865606
22,260,0.721163893578
22,292,0.617635238325
22,353,0.504461056185
22,392,0.827425448115
22,439,0.231171127723
22,556,0.350293384776
22,559,0.827425448115
22,570,0.224338879511
22,572,0.693191865606
22,593,0.469897918174
22,636,0.862310103689
22,675,0.504461056185
22,685,0.921710473435
22,693,0.504461056185
22,715,0.431556948798
22,740,0.721163893578
22,749,0.350293384776
22,1046,0.0927578168957
22,1047,0.0927578168957
22,1054,0.431556948798
22,1082,0.431556948798
22,1089,0.231171127723
22,1097,0.231171127723
22,1170,0.504461056185
22,1181,0.350293384776
23,47,0.231171127723
23,136,0.0506390161563
23,416,0.143557591833
23,477,0.383248934973
23,570,0.877501808536
23,593,0.917289606945
23,700,0.636685153927
23,715,0.322080218632
23,1082,0.322080218632
23,1137,0.383248934973
23,1138,0.231171127723
23,1153,0.0506390161563
23,1181,0.231171127723
25,41,0.0506390161563
25,66,0.0927578168957
25,72,0.0506390161563
25,87,0.197492163009
25,231,0.0927578168957
25,277,0.0927578168957
25,294,0.0506390161563
25,395,0.0927578168957
25,420,0.350293384776
25,554,0.0506390161563
25,597,0.350293384776
25,630,0.0927578168957
25,688,0.422634836428
25,720,0.197492163009
25,1082,0.143557591833
25,1190,0.0927578168957
26,208,0.422634836428
26,419,0.0506390161563
26,461,0.231171127723
26,528,0.231171127723
26,529,0.197492163009
26,613,0.617635238325
26,748,0.197492163009
26,1203,0.0927578168957
27,78,0.00852021541677
27,100,0.322080218632
27,106,0.00852021541677
27,208,0.422634836428
27,245,0.231171127723
27,270,0.322080218632
27,276,0.231171127723
27,433,0.422634836428
27,434,0.350293384776
27,561,0.485411140584
27,610,0.422634836428
27,702,0.27972027972
27,1083,0.0927578168957
27,1092,0.0506390161563
27,1143,0.00852021541677
27,1188,0.0506390161563
28,54,0.00852021541677
28,478,0.143557591833
28,519,0.143557591833
28,582,0.27972027972
28,606,0.231171127723
28,607,0.27972027972
28,980,0.0506390161563
28,1130,0.0927578168957
28,1177,0.0506390161563
28,1189,0.0927578168957
29,221,0.407121614018
29,230,0.0267663371112
29,239,0.0479061168716
29,281,0.655333172575
29,365,0.173941001527
29,371,0.504461056185
29,374,0.0750743509364
29,398,0.655333172575
29,399,0.431556948798
29,400,0.273932963588
29,404,0.431556948798
29,422,0.300136644964
29,487,0.300136644964
29,545,0.382445141066
29,561,0.617635238325
29,568,0.431556948798
29,664,0.550759585242
29,1130,0.173941001527
29,1177,0.0927578168957
29,1178,0.173941001527
31,69,0.0
31,157,0.0
31,275,0.0777268708303
32,115,0.0506390161563
32,116,0.0267663371112
32,118,0.0927578168957
32,127,0.0267663371112
32,153,0.00852021541677
32,155,0.0927578168957
32,156,0.0506390161563
32,187,0.0
