,citing,cited_id
174,1,1290
175,1,1311
176,1,1461
177,1,1585
178,1,1712
179,1,1897
180,1,2028
181,1,1801
182,1,2380
183,1,2443
184,1,2442
185,1,2673
186,1,2863
187,1,2870
188,1,3065
189,1,3307
190,1,3306
191,1,3822
192,1,3892
193,1,9959
194,1,3920
195,1,4179
196,1,4228
197,1,4274
198,1,4481
199,1,4483
200,1,4640
201,1,4760
202,1,4819
203,1,5164
204,1,5329
205,1,5426
206,1,5659
207,1,5678
208,1,5686
209,1,5687
210,1,5689
211,1,5840
212,1,5903
213,1,5967
214,1,6237
215,1,6254
216,1,6340
217,1,6337
218,1,6338
219,1,6126
220,1,6506
221,1,6607
222,1,6834
223,1,6860
224,1,7390
225,1,7391
226,1,7392
227,1,7385
228,1,7386
229,1,7534
230,1,7541
231,1,7599
232,1,7836
233,1,7961
234,1,8205
235,1,8316
236,1,8684
237,1,8817
238,1,8884
239,1,8988
240,1,9287
241,1,9328
242,1,9500
243,1,9562
244,1,9114
245,1,9615
246,1,9715
247,1,9732
248,1,9760
249,1,9769
250,1,9961
251,1,9963
252,1,10022
253,1,10085
254,1,10084
255,1,10246
256,1,10265
257,1,10266
258,1,10386
259,1,11594
260,1,10665
261,1,10662
262,1,10666
263,1,10674
264,1,10863
265,1,10881
266,1,10888
267,1,10995
268,1,157
269,1,480
270,1,600
271,1,948
272,1,610
273,1,959
274,1,769
275,1,1524
276,1,1602
277,1,1691
278,1,2369
279,1,11584
280,1,3852
281,1,4042
282,1,5115
283,1,5116
284,1,5415
285,1,5876
286,1,6014
287,1,6082
288,1,6334
289,1,7203
290,1,8169
291,1,8240
292,1,8411
293,1,8547
294,1,8978
295,1,9085
296,2,9617
297,2,9157
298,2,122
299,2,175
300,2,232
301,2,531
302,2,883
303,2,1020
304,2,1098
305,2,1163
306,2,1196
307,2,714
308,2,735
309,2,1459
310,2,1482
311,2,1489
312,2,1863
313,2,1948
314,2,1988
315,2,2010
316,2,2165
317,2,2176
318,2,2186
319,2,2182
320,2,1753
321,2,2326
322,2,2345
323,2,2412
324,2,2565
325,2,2562
326,2,2740
327,2,2771
328,2,2859
329,2,2893
330,2,2953
331,2,2954
332,2,3042
333,2,3202
334,2,3324
335,2,3451
336,2,3379
337,2,3599
338,2,3676
339,2,3907
340,2,3888
341,2,3918
342,2,3996
343,2,4072
344,2,4137
345,2,4202
346,2,4228
347,2,4235
348,2,4234
349,2,4236
350,2,4237
351,2,4293
352,2,4317
353,2,4496
354,2,4531
355,2,4591
356,2,4373
357,2,4694
358,2,4879
359,2,4976
360,2,5110
361,2,5123
362,2,5063
363,2,5222
364,2,5262
365,2,5300
366,2,5554
367,2,5671
368,2,5765
369,2,5766
370,2,5775
371,2,5779
372,2,5780
373,2,6381
374,2,6498
375,2,6569
376,2,6676
377,2,6675
378,2,7061
379,2,7178
380,2,7253
381,2,7503
382,2,7502
383,2,7836
384,2,7940
385,2,7857
386,2,7969
387,2,7996
388,2,8120
389,2,8123
390,2,8145
391,2,8016
392,2,8015
393,2,8017
394,2,8190
395,2,8291
396,2,8318
397,2,8746
398,2,8759
399,2,8799
400,2,8941
401,2,9008
402,2,9291
403,2,9392
404,2,9455
405,2,9471
406,2,9545
407,2,9114
408,2,9729
409,2,9843
410,2,9857
411,2,9884
412,2,10040
413,2,10093
414,2,10175
415,2,10217
416,2,10112
417,2,10290
418,2,11595
419,2,10665
420,2,10929
421,2,11059
422,2,11076
423,2,11172
424,2,11173
425,2,11182
426,2,11399
427,2,11397
428,2,11403
429,2,11401
430,2,11433
431,2,174
432,2,852
433,2,861
434,2,1180
435,2,1252
436,2,1502
437,2,2484
438,2,2480
439,2,1841
440,2,2795
441,2,2796
442,2,2797
443,3,2845
444,3,2969
445,3,3279
446,3,3152
447,3,3514
448,3,3379
449,3,4303
450,3,4946
451,3,4985
452,3,5249
453,3,5751
454,3,6120
455,3,6603
456,3,6639
457,3,6752
458,3,6815
459,3,7052
460,3,6881
461,3,7288
462,3,7385
463,3,7660
464,3,8161
465,3,8748
466,3,9028
467,3,9027
468,3,10051
469,3,10250
470,3,10150
471,3,10485
472,3,10656
473,3,11019
474,3,11299
475,3,2105
476,3,2104
477,3,2210
478,3,3280
479,3,4760
480,3,6449
481,3,7085
482,3,7602
483,3,7839
484,3,8237
485,3,8544
486,3,9658
487,3,10500
488,3,34
489,3,44
490,3,49
491,3,74
492,4,494
493,4,880
494,4,592
495,4,627
496,4,639
497,4,684
498,4,1859
499,4,2183
500,4,2186
501,4,2182
502,4,2175
503,4,2217
504,4,2292
505,4,2454
506,4,2547
507,4,2608
508,4,3106
509,4,3221
510,4,3219
511,4,3220
512,4,3157
513,4,3508
514,4,3561
515,4,3379
516,4,3590
517,4,3634
518,4,3660
519,4,3915
520,4,3711
521,4,4055
522,4,4122
523,4,3773
524,4,4251
525,4,4294
526,4,4346
527,4,4615
528,4,4663
529,4,4394
530,4,4395
