source,target,p
10,522,0.637294332724
10,660,0.809725776965
10,683,0.38844606947
10,685,0.0534552102377
10,869,0.88029250457
10,966,0.97352833638
11,221,0.176599634369
11,292,0.236124314442
11,365,0.0526508226691
11,568,0.125703839122
11,727,0.188811700183
11,775,0.204168190128
11,777,0.0288848263254
11,778,0.0729798903108
11,779,0.243363802559
11,782,0.0524314442413
11,784,0.0410237659963
11,785,0.849945155393
11,839,0.933747714808
11,960,0.54113345521
11,1124,0.80365630713
11,1125,0.0904570383912
12,43,0.626983546618
12,59,0.746398537477
12,102,0.874515539305
12,111,0.466617915905
12,112,0.469616087751
12,147,0.805850091408
12,190,0.315758683729
12,215,0.595904936015
12,326,0.790347349177
12,434,0.924753199269
12,469,0.842413162706
12,540,0.89491773309
12,560,0.995758683729
12,609,0.282998171846
12,612,0.727239488117
12,631,0.830566727605
12,646,0.996782449726
12,663,0.995978062157
12,712,0.65155393053
12,716,0.269469835466
12,816,0.485045703839
12,857,0.339085923218
12,869,0.643583180987
12,951,0.842925045704
12,1040,0.76365630713
12,1042,0.336234003656
12,1185,0.56760511883
13,18,0.532797074954
13,21,0.905447897623
13,59,0.514734917733
13,167,0.27012797075
13,178,0.713711151737
13,206,0.770091407678
13,231,0.876855575868
13,233,0.916928702011
13,261,0.49886654479
13,319,0.872321755027
13,372,0.977111517367
13,395,0.967166361974
13,520,0.44197440585
13,538,0.411188299817
13,551,0.999414990859
13,591,0.788519195612
13,683,0.893016453382
13,732,0.938720292505
13,802,0.680146252285
13,808,0.192979890311
13,820,0.688409506399
13,888,0.936160877514
13,892,0.786837294333
13,934,0.99239488117
13,957,0.718756855576
13,967,0.934332723949
13,1047,0.513711151737
13,1162,0.500767824497
13,1201,0.375137111517
14,51,0.132065813528
14,56,0.905228519196
14,74,0.522120658135
14,192,0.696380255941
14,209,0.879853747715
14,216,0.065155393053
14,305,0.144424131627
14,443,0.649652650823
14,471,0.945886654479
14,500,0.134771480804
14,617,0.709396709324
14,692,0.886946983547
14,698,0.204899451554
14,726,0.284533820841
14,770,0.08760511883
14,806,0.455063985375
14,924,0.130603290676
14,962,0.359414990859
14,981,0.851700182815
14,1108,0.0862157221207
14,1115,0.475685557587
14,1189,0.729652650823
15,19,0.545301645338
15,121,0.889360146252
15,145,0.3678976234
15,174,0.751882998172
15,222,0.46252285192
15,254,0.580767824497
15,284,0.451919561243
15,303,0.355758683729
15,309,0.483144424132
15,312,0.511882998172
15,392,0.844021937843
15,534,0.601828153565
15,570,0.432833638026
15,671,0.543619744059
15,708,0.519926873857
15,741,0.536087751371
15,763,0.828299817185
15,822,0.529506398537
15,871,0.187349177331
15,878,0.336307129799
15,1019,0.85323583181
15,1036,0.234588665448
15,1037,0.327824497258
15,1106,0.463180987203
15,1202,0.940548446069
16,17,0.550201096892
16,18,0.907056672761
16,21,0.898135283364
16,22,0.81550274223
16,23,0.346691042048
16,54,0.34084095064
16,77,0.816453382084
16,167,0.503400365631
16,233,0.577550274223
16,261,0.362120658135
16,279,0.54281535649
16,297,0.773820840951
16,339,0.745301645338
16,411,0.532358318099
16,538,0.265228519196
16,577,0.400438756856
16,591,0.559414990859
16,592,0.266179159049
16,595,0.205411334552
16,604,0.811480804388
16,613,0.964387568556
16,731,0.593564899452
16,773,0.60928702011
16,808,0.728043875686
16,820,0.992468007313
16,842,0.297696526508
16,847,0.599341864717
16,892,0.635100548446
16,967,0.573016453382
16,989,0.667349177331
16,996,0.76957952468
16,1003,0.936014625229
16,1011,0.769798903108
16,1033,0.659378427788
16,1044,0.904204753199
16,1047,0.739817184644
16,1054,0.112906764168
16,1096,0.763217550274
16,1117,0.161608775137
16,1135,0.731846435101
16,1162,0.580329067642
16,1205,0.295795246801
17,20,0.398829981718
17,22,0.182888482633
17,23,0.717440585009
17,52,0.91466179159
17,126,0.464862888483
17,577,0.972431444241
17,613,0.421352833638
17,676,0.992248628885
17,731,0.157294332724
17,773,0.210603290676
17,827,0.148519195612
17,843,0.453162705667
17,892,0.561535648995
17,920,0.504862888483
17,961,0.854552102377
17,1003,0.487531992687
17,1054,0.192541133455
17,1089,0.628153564899
17,1096,0.521096892139
17,1147,0.95239488117
17,1205,0.449798903108
18,33,0.571700182815
18,40,0.662303473492
18,59,0.881462522852
18,63,0.740255941499
18,147,0.792175502742
18,167,0.13886654479
18,180,0.394734917733
18,186,0.690749542962
18,206,0.672541133455
18,233,0.769945155393
18,241,0.96168190128
18,261,0.609506398537
18,345,0.929506398537
18,369,0.799268738574
18,424,0.650237659963
18,538,0.943692870201
18,591,0.519561243144
18,632,0.720877513711
18,709,0.625594149909
18,807,0.618208409506
18,820,0.55407678245
18,830,0.751736745887
18,842,0.656453382084
18,847,0.139378427788
18,860,0.333893967093
18,878,0.74084095064
18,880,0.365045703839
18,892,0.467129798903
18,940,0.494990859232
18,977,0.818939670932
18,996,0.51970749543
18,1015,0.891407678245
18,1023,0.917221206581
18,1047,0.0629616087751
18,1050,0.933382084095
18,1161,0.691846435101
18,1162,0.719926873857
18,1170,0.549031078611
18,1200,0.80226691042
19,22,0.405996343693
19,30,0.724753199269
19,94,0.527020109689
19,107,0.654186471664
19,309,0.391809872029
19,330,0.705374771481
19,570,0.623839122486
19,620,0.906252285192
19,855,0.861279707495
19,863,0.644021937843
19,890,0.918464351005
19,920,0.12928702011
19,985,0.459597806216
19,996,0.579963436929
19,999,0.714954296161
19,1003,0.916782449726
19,1037,0.267056672761
19,1096,0.37323583181
19,1113,0.912760511883
19,1136,0.812650822669
19,1162,0.681389396709
19,1170,0.544131627057
19,1205,0.758756855576
20,22,0.332577696527
20,23,0.375868372943
20,132,0.15239488117
20,222,0.630859232176
20,253,0.581425959781
20,476,0.975795246801
20,613,0.417550274223
20,731,0.313930530165
20,773,0.227495429616
20,794,0.747861060329
20,827,0.370968921389
20,843,0.429835466179
20,847,0.520877513711
20,892,0.675612431444
20,901,0.581279707495
20,920,0.438903107861
20,1003,0.319780621572
20,1034,0.356124314442
20,1050,0.597659963437
20,1054,0.222449725777
20,1089,0.79407678245
20,1096,0.392029250457
20,1169,0.934844606947
20,1205,0.580987202925
21,47,0.738939670932
21,59,0.644899451554
21,72,0.610530164534
21,167,0.530749542962
21,181,0.763729433272
21,233,0.938281535649
21,257,0.438171846435
